date,maxtemp,avgrelativehumidity,maxrelativehumidity,minrelativehumidity,avgvisibility,maxvisibility,minvisibility,hazehours,smokehours,pm25avganderson,pm25minanderson,pm25maxanderson
1-Jan-13,56,52,89,20,9.5500002,10,5.5900002,,,27.120001,0.70999998,55.689999
2-Jan-13,58,61,88,28,9.9899998,10,9.9399996,,,28.969999,6.5100002,57.240002
3-Jan-13,54,68,89,35,9.8100004,10,8,,,29.629999,1.34,56.200001
4-Jan-13,56,70,89,36,9.8800001,10,8.6999998,,,28.82,4.3099999,52.610001
5-Jan-13,45,82,93,68,8.9399996,10,5,,,31.950001,19.129999,51.360001
6-Jan-13,57,72,100,47,7.9499998,10,3,,,17.629999,4.6599998,38.099998
7-Jan-13,61,65,79,44,9.9899998,10,9.9399996,,,22.209999,6.8600001,48.82
8-Jan-13,59,81,100,58,6.7199998,10,0.25,1,,28.299999,13.18,54.209999
9-Jan-13,45,86,93,51,2.4400001,10,0.75,,,42.110001,21.309999,56.599998
10-Jan-13,48,71,100,45,6.21,10,0.25,,,22.620001,6.1799998,49.830002
11-Jan-13,46,72,89,53,9.8500004,10,7,,,29.110001,3.3599999,67.959999
12-Jan-13,48,42,78,25,9.9899998,10,9.9399996,,,17.540001,6.54,42.07
13-Jan-13,47,28,40,17,9.9899998,10,9.9399996,,,10.44,1.42,24.309999
14-Jan-13,54,30,61,19,9.9899998,10,9.9399996,,,13.1,1.52,31.389999
15-Jan-13,59,59,79,32,9.9899998,10,9.9399996,,,26.209999,15.82,52.23
16-Jan-13,71,48,85,12,9.46,10,5,2,,26.08,4.0900002,61.119999
17-Jan-13,71,47,82,11,9.8000002,10,8,,,21.709999,5.1300001,54.560001
18-Jan-13,69,54,85,14,9.8800001,10,7,,,26.83,5.27,49.490002
19-Jan-13,69,48,75,14,9.8299999,10,7.46,,,22.620001,13.72,53.34
20-Jan-13,69,43,72,9,9.9899998,10,9.9399996,,,23.360001,1.95,45.5
21-Jan-13,67,48,75,13,9.9899998,10,9.9399996,,,30.23,5.3600001,76.150002
22-Jan-13,61,61,79,29,9.9899998,10,9.9399996,,,30.709999,12.02,54.639999
23-Jan-13,51,84,96,66,5.6399999,10,1.5,,,39.630001,21.879999,54.060001
24-Jan-13,59,82,93,69,8.6300001,10,2.5,,,19.200001,10.71,40.529999
25-Jan-13,57,85,96,72,6.77,10,0.25,,,17.33,6.4200001,30.540001
26-Jan-13,59,63,100,34,4.4099998,10,0.25,,,18.389999,0.25,34.639999
27-Jan-13,56,46,65,29,9.9899998,10,9.9399996,,,11.71,1.08,36.549999
28-Jan-13,57,62,82,39,9.9899998,10,9.9399996,,,18.280001,6.27,38.360001
29-Jan-13,62,64,89,39,9.9899998,10,9.9399996,,,21.43,5.6300001,56.900002
30-Jan-13,70,46,74,23,9.9899998,10,9.9399996,,,13.54,4.9099998,33.360001
31-Jan-13,64,66,89,35,9.9899998,10,9.9399996,,,19.32,8.2399998,55.389999
1-Feb-13,68,64,89,26,9.8100004,10,7,,,20.889999,11.48,32.869999
2-Feb-13,66,65,86,33,9.9899998,10,9.9399996,,,24.120001,8.1899996,44.490002
3-Feb-13,70,65,92,27,9.8800001,10,8.6999998,,,22.969999,9.1000004,48.66
4-Feb-13,62,70,89,41,9.96,10,9,,,20.91,6.8200002,53.950001
5-Feb-13,59,75,93,60,9.3599997,10,6,,,26.24,10.53,45.09
6-Feb-13,59,64,93,31,9.1999998,10,0.75,,,19.709999,7.6500001,65.360001
7-Feb-13,52,75,93,54,9.0699997,10,4,,,11.37,0.22,36.93
8-Feb-13,56,56,93,24,7.5100002,10,0.25,,,12.69,0.19,41.150002
9-Feb-13,59,40,62,25,9.9899998,10,9.9399996,,,13.13,1.08,35.970001
10-Feb-13,63,44,76,23,9.9899998,10,9.9399996,,,15.11,0.75,43.860001
11-Feb-13,67,49,77,22,9.9899998,10,9.9399996,,,14.04,3.9300001,39.830002
12-Feb-13,68,56,88,23,9.9899998,10,9.9399996,,,19.1,3.6500001,54.900002
13-Feb-13,73,46,85,22,9.9899998,10,9.9399996,,,16.1,3.4300001,46.009998
14-Feb-13,71,32,47,19,9.9899998,10,9.9399996,,,6.0799999,1.9,11.79
15-Feb-13,73,41,68,18,9.9899998,10,9.9399996,,,12.6,2.8800001,50.849998
16-Feb-13,69,57,82,26,9.9899998,10,9.9399996,,,18.1,6.9299998,37.959999
17-Feb-13,66,38,79,13,9.96,10,9,,,16.27,2.76,32.610001
18-Feb-13,57,61,79,37,9.8800001,10,8.6999998,,,16.49,1.9,42.380001
