date,week_in_study,mean_wf_pm,mean_non_wf_pm,maxtemp_week_avg
1/6/13,1,0,17.629999,57
1/13/13,2,0,24.61857171,50.57142857
1/20/13,3,0,22.84428571,66
1/27/13,4,0,23.88571429,58.57142857
2/3/13,5,0,20.07857143,65.28571429
2/10/13,6,0,17.022857,58.57142857
2/17/13,7,0,14.61285713,69.57142857
2/24/13,8,0,13.37285713,58.57142857
3/3/13,9,0,16.23857157,68
3/10/13,10,0,13.64285714,65
3/17/13,11,0,12.25142854,75.85714286
3/24/13,12,0,12.59142857,66.57142857
3/31/13,13,0,11.03571427,69.71428571
4/7/13,14,0,11.01142857,67.28571429
4/14/13,15,0.1642921,8.874285643,75.57142857
4/21/13,16,0,11.65142863,75.42857143
4/28/13,17,0.0641675,11.87199996,86.42857143
5/5/13,18,0.0042339,13.68714297,85.42857143
5/12/13,19,0,14.73714286,83.85714286
5/19/13,20,0,10.5514285,84.28571429
5/26/13,21,0,9.571428529,79
6/2/13,22,0,9.370000057,86.42857143
6/9/13,23,0,16.01285717,103.7142857
6/16/13,24,0,10.40857143,87.85714286
6/23/13,25,0,9.059999886,86.42857143
6/30/13,26,0,11.12857137,92.57142857
7/7/13,27,2.043316,14.93,106.4285714
7/14/13,28,0,11.88,99
7/21/13,29,1.379229,14.12714286,102.2857143
7/28/13,30,2.147729,16.72428543,102.4285714
8/4/13,31,19.46846,20.692,94.28571429
8/11/13,32,8.793407,17.607143,91.57142857
8/18/13,33,NA,18.32857171,100.1428571
8/25/13,34,12.0481,21.1385716,95
9/1/13,35,0,11.43714286,93.71428571
9/8/13,36,0,12.46714286,92.57142857
9/15/13,37,0,16.50714271,96.28571429
9/22/13,38,0,11.3128571,82.28571429
9/29/13,39,0,11.23428583,76.28571429
10/6/13,40,0,11.43714284,78.85714286
10/13/13,41,0,14.19428584,75
10/20/13,42,0,14.34285714,83.28571429
10/27/13,43,0,16.16857143,83
11/3/13,44,0,17.22,67.85714286
11/10/13,45,0,18.34571443,72.85714286
11/17/13,46,0,20.24285686,70.71428571
11/24/13,47,0,20.35000014,60.85714286
12/1/13,48,0,26.14857114,67.71428571
12/8/13,49,0,24.28857143,47.42857143
12/15/13,50,0,28.68428514,61.14285714
12/22/13,51,0,21.14999964,66.57142857
12/29/13,52,0,18.83428553,67
1/5/14,53,0,18.14142843,68.5
1/12/14,54,0,26.73714243,59
1/19/14,55,0,16.30857129,74.71428571
1/26/14,56,0,15.17999986,75.42857143
2/2/14,57,0,23.12285657,59.71428571
2/9/14,58,0,18.43857129,52.57142857
2/16/14,59,0,16.15428561,61.28571429
2/23/14,60,0,14.27857171,67.57142857
3/2/14,61,0,20.94714343,61.42857143
3/9/14,62,0,15.14,62.85714286
3/16/14,63,0,14.84857143,74.14285714
3/23/14,64,0,12.13285717,73.28571429
3/30/14,65,0,15.06857129,60.57142857
4/6/14,66,0,14.50428586,62.28571429
4/13/14,67,0,14.64285714,81
4/20/14,68,NA,13.9528572,81.57142857
4/27/14,69,0,12.16000013,67
5/4/14,70,0,11.87428573,83.85714286
5/11/14,71,0,10.46000001,75.14285714
5/18/14,72,0,11.81285714,90.28571429
5/25/14,73,0,9.707142757,90.14285714
6/1/14,74,0,9.928571471,89
6/8/14,75,0,11.96428579,99.28571429
6/15/14,76,0,10.1985715,92.71428571
6/22/14,77,0,9.051428486,91.71428571
6/29/14,78,0,8.287142871,92.85714286
7/6/14,79,0,12.37285716,103.7142857
7/13/14,80,0,12.79428574,101.4285714
7/20/14,81,0,13.03285714,99.14285714
7/27/14,82,0,9.648571514,96.85714286
8/3/14,83,0,12.2185714,104.5714286
8/10/14,84,1.400115,21.681429,94.42857143
8/17/14,85,0,11.38142861,95.57142857
8/24/14,86,0,12.54714283,96
8/31/14,87,0,13.46428571,97
9/7/14,88,2.780813,13.45285713,99.85714286
9/14/14,89,3.00236,14.52142871,98.71428571
9/21/14,90,6.34166,14.12428571,92.71428571
9/28/14,91,0,13.59571414,80.42857143
10/5/14,92,0,10.33999999,89.28571429
10/12/14,93,0,9.837142771,91.71428571
10/19/14,94,0,12.22000009,76.28571429
10/26/14,95,0,12.9171429,66.85714286
11/2/14,96,0,15.41285729,69.42857143
11/9/14,97,0,19.38571443,75.42857143
11/16/14,98,0,18.59714329,64.42857143
11/23/14,99,0,20.954286,58.28571429
11/30/14,100,0,23.65000057,59.28571429
12/7/14,101,0,14.71571443,58.71428571
12/14/14,102,0,17.86857119,55.14285714
12/21/14,103,0,13.14285729,52
12/28/14,104,0,21.39142829,60.14285714
1/4/15,105,0,27.20000029,55
1/11/15,106,0,30.91142886,64.28571429
1/18/15,107,0,21.43142857,58.57142857
1/25/15,108,0,17.99714286,70.14285714
2/1/15,109,0,19.67857146,69.42857143
2/8/15,110,0,17.56000011,60.57142857
2/15/15,111,0,15.04428543,71.14285714
2/22/15,112,0,14.13428556,71.57142857
3/1/15,113,0,12.23571431,69.57142857
3/8/15,114,0,18.44428543,73.14285714
3/15/15,115,0,15.41142871,72.85714286
3/22/15,116,0,12.09571426,74.28571429
3/29/15,117,0,10.39571429,78.42857143
4/5/15,118,0,12.35285714,71
4/12/15,119,0,15.98285729,68
4/19/15,120,0.6888433,14.99428586,83.42857143
4/26/15,121,0,14.174286,81.28571429
5/3/15,122,2.725572,12.64,90.14285714
5/10/15,123,0,13.15000014,83.28571429
5/17/15,124,0,11.80142851,75.28571429
5/24/15,125,0,10.46857141,82.57142857
5/31/15,126,0,10.91571431,91.28571429
6/7/15,127,0,9.112857129,92.85714286
6/14/15,128,0,11.24285714,103.5714286
6/21/15,129,0,14.30285743,98.85714286
6/28/15,130,0,13.51857143,104.2857143
7/5/15,131,0,13.08285714,107.1428571
7/12/15,132,0,14.54142857,90.85714286
7/19/15,133,0,11.13714286,101.2857143
7/26/15,134,NA,14.17142871,97.42857143
8/2/15,135,0,17.36428607,104.2857143
8/9/15,136,0.6546613,26.82571443,96
8/16/15,137,30.85985,27.573333,97
8/23/15,138,0.2588777,23.75428557,100
8/30/15,139,0,13.87714267,96.71428571
9/6/15,140,0,13.15142861,90.14285714
9/13/15,141,0,15.90714286,103
9/20/15,142,0,15.58571443,82.71428571
9/27/15,143,0,12.27428573,95.42857143
10/4/15,144,NA,13.46857143,86.42857143
10/11/15,145,NA,16.56285743,88.14285714
10/18/15,146,0.0510311,13.38571414,88.42857143
10/25/15,147,0,13.15000001,82.57142857
11/1/15,148,0,14.16285729,75.85714286
11/8/15,149,0,17.31857157,66.85714286
11/15/15,150,0,23.80000029,61.71428571
11/22/15,151,0,23.55428571,68.28571429
11/29/15,152,0,20.26142871,57.42857143
12/6/15,153,NA,27.81000014,54.57142857
12/13/15,154,0,19.56000014,55.28571429
12/20/15,155,0,24.92714286,50.71428571
12/27/15,156,NA,20.39285729,51.85714286
1/3/16,157,0,22.31857143,52.28571429
1/10/16,158,0,20.86285743,51
1/17/16,159,0,18.79857143,53.14285714
1/24/16,160,0,15.42571429,57.14285714
1/31/16,161,0,19.254286,58.28571429
2/7/16,162,0,20.54571443,60.57142857
2/14/16,163,0,17.42142847,75.28571429
2/21/16,164,0,16.06285686,65.85714286
2/28/16,165,0,18.48000029,69.57142857
3/6/16,166,0,13.29000004,64.42857143
